"id","login","avatar_url","html_url","type","score"
64716105,"andrewwestgard","https://avatars.githubusercontent.com/u/64716105?v=4","https://github.com/andrewwestgard","User",1
76069657,"andymadrid","https://avatars.githubusercontent.com/u/76069657?v=4","https://github.com/andymadrid","User",1
35616220,"ang-yu","https://avatars.githubusercontent.com/u/35616220?v=4","https://github.com/ang-yu","User",1
8316863,"Anjali05","https://avatars.githubusercontent.com/u/8316863?v=4","https://github.com/Anjali05","User",1
71764771,"anmehta4","https://avatars.githubusercontent.com/u/71764771?v=4","https://github.com/anmehta4","User",1
61374198,"AnmolGulati6","https://avatars.githubusercontent.com/u/61374198?v=4","https://github.com/AnmolGulati6","User",1
25282956,"Anmolk7","https://avatars.githubusercontent.com/u/25282956?v=4","https://github.com/Anmolk7","User",1
61394709,"annabelleshultz","https://avatars.githubusercontent.com/u/61394709?v=4","https://github.com/annabelleshultz","User",1
26692316,"annapmeyer","https://avatars.githubusercontent.com/u/26692316?v=4","https://github.com/annapmeyer","User",1
69973544,"annhanlon","https://avatars.githubusercontent.com/u/69973544?v=4","https://github.com/annhanlon","User",1
22180065,"anyezijue49","https://avatars.githubusercontent.com/u/22180065?v=4","https://github.com/anyezijue49","User",1
58618743,"apeabody007","https://avatars.githubusercontent.com/u/58618743?v=4","https://github.com/apeabody007","User",1
24740196,"apedgaon","https://avatars.githubusercontent.com/u/24740196?v=4","https://github.com/apedgaon","User",1
53663462,"apgr0ss","https://avatars.githubusercontent.com/u/53663462?v=4","https://github.com/apgr0ss","User",1
71953215,"app00jul","https://avatars.githubusercontent.com/u/71953215?v=4","https://github.com/app00jul","User",1
24578250,"AppFrost","https://avatars.githubusercontent.com/u/24578250?v=4","https://github.com/AppFrost","User",1
30806755,"apurbaa7","https://avatars.githubusercontent.com/u/30806755?v=4","https://github.com/apurbaa7","User",1
44247064,"arielrezinn","https://avatars.githubusercontent.com/u/44247064?v=4","https://github.com/arielrezinn","User",1
34474014,"Arindam-1","https://avatars.githubusercontent.com/u/34474014?v=4","https://github.com/Arindam-1","User",1
